meter_id,reading_timestamp,region,household_type,consumption_kwh,temperature_f,tariff_band
MTR-1001,2026-05-01T00:00:00Z,Northeast,Residential,1.82,58,Off-Peak
MTR-1001,2026-05-01T06:00:00Z,Northeast,Residential,2.41,56,Off-Peak
MTR-1001,2026-05-01T12:00:00Z,Northeast,Residential,3.64,68,Mid-Peak
MTR-1001,2026-05-01T18:00:00Z,Northeast,Residential,4.91,66,Peak
MTR-1002,2026-05-01T00:00:00Z,Midwest,Commercial,5.74,61,Off-Peak
MTR-1002,2026-05-01T06:00:00Z,Midwest,Commercial,6.43,60,Off-Peak
MTR-1002,2026-05-01T12:00:00Z,Midwest,Commercial,8.12,72,Mid-Peak
MTR-1002,2026-05-01T18:00:00Z,Midwest,Commercial,9.55,70,Peak
MTR-1003,2026-05-01T00:00:00Z,South,Industrial,11.26,74,Off-Peak
MTR-1003,2026-05-01T06:00:00Z,South,Industrial,12.03,77,Off-Peak
MTR-1003,2026-05-01T12:00:00Z,South,Industrial,13.84,88,Mid-Peak
MTR-1003,2026-05-01T18:00:00Z,South,Industrial,15.18,86,Peak
MTR-1001,2026-05-02T00:00:00Z,Northeast,Residential,1.77,57,Off-Peak
MTR-1001,2026-05-02T06:00:00Z,Northeast,Residential,2.35,55,Off-Peak
MTR-1001,2026-05-02T12:00:00Z,Northeast,Residential,3.51,69,Mid-Peak
MTR-1001,2026-05-02T18:00:00Z,Northeast,Residential,4.62,65,Peak
MTR-1002,2026-05-02T00:00:00Z,Midwest,Commercial,5.61,59,Off-Peak
MTR-1002,2026-05-02T06:00:00Z,Midwest,Commercial,6.31,58,Off-Peak
MTR-1002,2026-05-02T12:00:00Z,Midwest,Commercial,7.98,73,Mid-Peak
MTR-1002,2026-05-02T18:00:00Z,Midwest,Commercial,9.12,71,Peak
MTR-1003,2026-05-02T00:00:00Z,South,Industrial,10.94,76,Off-Peak
MTR-1003,2026-05-02T06:00:00Z,South,Industrial,11.88,78,Off-Peak
MTR-1003,2026-05-02T12:00:00Z,South,Industrial,13.47,90,Mid-Peak
MTR-1003,2026-05-02T18:00:00Z,South,Industrial,14.86,87,Peak
